complaint_id,flight_number,customer_id,category,status,created_at
85fc62b6,TK140,C87258,delay,pending,2025-09-01
e9685560,TK877,C43756,other,resolved,2025-08-17
5a369046,TK162,C63331,delay,resolved,2025-10-12
017d3c66,TK352,C15626,delay,pending,2025-09-30
383614cc,TK180,C86961,delay,open,2025-09-20
24b8c88c,TK145,C92711,delay,pending,2025-09-29
50ee751f,TK655,C95530,other,open,2025-09-28
5b6ea913,TK953,C46444,baggage,resolved,2025-08-30
a86aba90,TK730,C95553,baggage,resolved,2025-09-01
b409e950,TK256,C15655,other,resolved,2025-08-30
47f45ef7,TK278,C10526,delay,open,2025-09-28
904c44d8,TK168,C38541,baggage,resolved,2025-09-07
0c1432ac,TK765,C75455,delay,open,2025-08-22
0f216f96,TK497,C59268,delay,resolved,2025-10-02
18b8c85d,TK953,C70112,service,open,2025-09-27
931463cb,TK294,C93309,other,resolved,2025-10-04
489dc0a8,TK202,C31804,baggage,pending,2025-09-04
6b324d28,TK177,C40087,baggage,resolved,2025-09-04
93c2d535,TK243,C53408,service,resolved,2025-09-30
6a1347b7,TK884,C84319,delay,resolved,2025-09-12
37e7ddcd,TK231,C84441,baggage,pending,2025-09-12
0a292b52,TK976,C59153,delay,pending,2025-09-15
9eeb27e7,TK325,C98652,service,resolved,2025-10-13
f9a33414,TK400,C91061,delay,resolved,2025-08-26
a88956b2,TK213,C78577,service,resolved,2025-09-05
63207f4e,TK251,C81626,service,pending,2025-10-06
e6b67420,TK456,C36015,delay,pending,2025-10-07
cfb74210,TK256,C36289,baggage,resolved,2025-08-29
2b911f26,TK198,C34826,delay,resolved,2025-09-29
7963899c,TK295,C76435,delay,resolved,2025-10-12
86149f25,TK555,C66446,delay,resolved,2025-10-04
8e6b93eb,TK317,C25313,service,resolved,2025-10-02
6963934c,TK838,C11560,seat,resolved,2025-08-21
8017337d,TK250,C62579,baggage,pending,2025-08-23
3e16c099,TK848,C80326,service,open,2025-10-09
400f9fb2,TK162,C26082,delay,pending,2025-09-04
e36620c9,TK497,C70315,service,resolved,2025-09-16
8dcaa051,TK455,C26309,service,resolved,2025-10-03
3565dbd6,TK507,C82541,other,resolved,2025-09-21
ff945fd9,TK838,C84131,baggage,resolved,2025-09-25
e0eeadb3,TK140,C49063,delay,resolved,2025-09-04
e71d0b6c,TK613,C82099,service,resolved,2025-09-09
12064da0,TK920,C53585,delay,resolved,2025-09-06
ec321404,TK910,C22201,other,resolved,2025-10-03
ccc7b9e4,TK412,C58364,delay,pending,2025-09-12
fe295c7e,TK198,C37490,baggage,resolved,2025-09-15
0bf68f8c,TK838,C21561,delay,pending,2025-08-21
b602f012,TK309,C36916,seat,resolved,2025-08-22
8abc2270,TK358,C80135,delay,resolved,2025-09-06
8863e407,TK543,C55893,baggage,resolved,2025-09-17
b8bfeab1,TK259,C77649,seat,open,2025-10-14
8b27809a,TK820,C31927,delay,resolved,2025-09-22
54c52562,TK259,C62233,service,open,2025-10-05
59ed7143,TK645,C81260,delay,pending,2025-10-14
bcf47c34,TK655,C16276,delay,resolved,2025-10-14
c5c7ac86,TK850,C92495,delay,resolved,2025-09-02
bf776edc,TK671,C65204,delay,resolved,2025-08-27
796dce99,TK542,C19847,seat,resolved,2025-09-30
2d328ec9,TK838,C28309,delay,open,2025-08-26
df764d4a,TK250,C91537,service,resolved,2025-09-19
1f79564b,TK820,C37420,baggage,resolved,2025-09-08
273eaa1b,TK316,C38404,service,open,2025-08-25
e43ec0fb,TK921,C43997,baggage,resolved,2025-08-26
8d9a257b,TK358,C11239,baggage,open,2025-09-20
b933a840,TK524,C99393,other,resolved,2025-08-20
e7d10e4a,TK471,C16638,delay,resolved,2025-09-07
1eec69ca,TK613,C22115,service,open,2025-08-24
cd09f34e,TK154,C11969,delay,resolved,2025-08-26
49eb46a6,TK506,C33196,delay,pending,2025-09-23
79c97388,TK507,C58320,seat,pending,2025-10-05
2f87fd6c,TK495,C65409,delay,pending,2025-08-29
a8992768,TK587,C60138,other,resolved,2025-09-12
96013edf,TK260,C41890,other,pending,2025-08-28
1ae570c8,TK456,C88916,delay,resolved,2025-10-13
028517bb,TK507,C27087,service,pending,2025-09-04
2b898fad,TK701,C97128,seat,resolved,2025-10-02
fdc608e3,TK243,C95150,baggage,pending,2025-09-07
3b409d97,TK155,C39165,other,resolved,2025-09-11
18eb0ee2,TK252,C83297,seat,resolved,2025-08-31
a969749b,TK260,C13712,service,resolved,2025-09-20
41f0a006,TK188,C61924,delay,resolved,2025-10-08
ce441bf6,TK607,C19108,delay,resolved,2025-09-12
c78f04e6,TK916,C18927,delay,resolved,2025-09-19
6c75315b,TK507,C86743,baggage,resolved,2025-08-30
1a80e110,TK145,C87576,delay,pending,2025-08-28
86b58726,TK745,C41348,seat,open,2025-10-10
9e32bd1d,TK513,C91889,delay,resolved,2025-09-09
30946d63,TK916,C83770,baggage,pending,2025-08-26
38a8d3c3,TK843,C36987,other,open,2025-09-22
6da39b53,TK154,C74106,service,resolved,2025-08-16
f1bdf2ae,TK302,C49310,delay,pending,2025-09-30
28905bdd,TK745,C55379,other,resolved,2025-09-11
58a9255e,TK975,C56413,delay,resolved,2025-08-24
a96fedd3,TK168,C46378,other,resolved,2025-10-07
e7e94ab3,TK811,C64691,baggage,resolved,2025-10-02
7a3e4375,TK243,C33171,seat,resolved,2025-10-08
f1ff24ec,TK252,C54139,service,resolved,2025-10-08
7f291e86,TK405,C99022,service,resolved,2025-09-03
53460c35,TK259,C34611,delay,open,2025-08-22
07b560e5,TK174,C31675,service,resolved,2025-08-17
fc41aa01,TK283,C98204,baggage,pending,2025-09-23
31ac4635,TK264,C19435,delay,resolved,2025-10-05
5644d429,TK198,C86153,delay,pending,2025-09-21
47e0d42c,TK673,C44084,delay,resolved,2025-09-09
0ac4a72e,TK183,C17227,baggage,pending,2025-09-26
61d7749c,TK987,C91571,service,resolved,2025-10-10
0fc70bd9,TK771,C74174,delay,pending,2025-09-12
e491b83c,TK745,C27014,delay,open,2025-09-08
f72b20b4,TK236,C26014,delay,resolved,2025-10-04
301f6f30,TK412,C67993,delay,resolved,2025-08-19
8b7bd1e2,TK513,C17421,service,resolved,2025-10-08
809df2a6,TK138,C75108,baggage,resolved,2025-09-06
4ceb6187,TK385,C65754,other,open,2025-09-26
e11118e5,TK607,C48467,baggage,resolved,2025-09-06
5b3c6fab,TK251,C49532,service,open,2025-09-12
db25d290,TK610,C83379,service,resolved,2025-08-17
832f225e,TK679,C78008,baggage,resolved,2025-08-16
be73a0b3,TK243,C79249,baggage,open,2025-09-13
5e84c0e1,TK250,C24484,delay,resolved,2025-10-12
71c608a7,TK870,C55113,delay,resolved,2025-09-22
07399bbe,TK290,C29201,delay,pending,2025-09-22
07b7c2cb,TK385,C63363,service,resolved,2025-09-09
a6e45a21,TK198,C52828,baggage,resolved,2025-08-21
6c8653a2,TK497,C10207,delay,resolved,2025-08-21
6a7add2c,TK264,C78619,delay,resolved,2025-09-25
06781f7e,TK208,C20754,other,resolved,2025-09-17
ac1cc7a8,TK889,C65922,service,pending,2025-09-05
86bd5dd5,TK456,C72711,delay,pending,2025-09-24
7746e3a3,TK556,C23395,baggage,open,2025-09-06
527ab397,TK587,C14895,service,pending,2025-09-07
89d1417f,TK245,C19715,baggage,open,2025-09-12
5c41968b,TK160,C15782,delay,resolved,2025-09-24
ea34448b,TK243,C45585,other,resolved,2025-10-04
25a80060,TK811,C48067,delay,pending,2025-09-27
8ba0b7da,TK697,C93362,baggage,resolved,2025-08-16
0eb050ff,TK762,C74612,delay,resolved,2025-08-27
362eace4,TK506,C22329,delay,resolved,2025-09-15
d8d5446e,TK180,C70631,delay,resolved,2025-10-12
8b666f54,TK160,C41750,delay,open,2025-09-24
c8262acb,TK976,C34226,service,resolved,2025-09-27
57204504,TK687,C82909,other,resolved,2025-09-20
94642509,TK598,C84520,delay,resolved,2025-09-14
82234568,TK202,C15901,service,pending,2025-08-30
ada1f0d8,TK198,C24716,delay,pending,2025-10-09
7d59cc55,TK862,C60200,baggage,open,2025-09-24
f6ff11aa,TK252,C27347,service,pending,2025-08-16
8f51cd61,TK668,C99099,other,resolved,2025-10-02
37007df9,TK243,C84270,delay,resolved,2025-08-16
d3bda7e1,TK892,C45262,baggage,resolved,2025-10-13
10fc023e,TK670,C82146,delay,resolved,2025-09-11
08de06ca,TK744,C65677,other,open,2025-08-20
05d7f1d5,TK385,C35032,delay,open,2025-09-24
402f8910,TK987,C80984,baggage,resolved,2025-10-08
d9a77051,TK602,C33291,baggage,resolved,2025-09-05
a3c35fb3,TK970,C33312,delay,resolved,2025-09-16
bdabc511,TK513,C22411,seat,resolved,2025-09-08
b5a62aff,TK810,C42371,delay,resolved,2025-09-10
50b61899,TK289,C36715,delay,open,2025-09-23
dedaff2c,TK988,C79252,service,resolved,2025-09-18
43a8a5ec,TK291,C16548,service,resolved,2025-10-05
ae934fc7,TK183,C34022,service,resolved,2025-10-14
20e619dd,TK561,C70428,service,resolved,2025-09-24
9fed8466,TK283,C26052,seat,pending,2025-09-09
13856c8d,TK613,C51424,service,resolved,2025-09-24
76e03bf2,TK385,C39300,delay,open,2025-08-24
7023b5f2,TK383,C47487,baggage,resolved,2025-09-04
694a8192,TK342,C38380,delay,resolved,2025-09-24
1d9e3a56,TK519,C74041,seat,pending,2025-09-28
25327b38,TK316,C13191,delay,resolved,2025-08-16
4c395cdf,TK404,C13631,delay,pending,2025-08-18
dfeb9d45,TK434,C38671,other,resolved,2025-10-04
3de7a27b,TK316,C38602,delay,resolved,2025-09-28
0117400f,TK534,C17099,delay,pending,2025-10-10
eab85ae9,TK889,C40111,other,resolved,2025-10-07
0976ad1e,TK488,C80476,service,resolved,2025-10-14
2a7c3c68,TK838,C17788,seat,open,2025-09-28
fa0150a1,TK138,C93588,delay,resolved,2025-09-14
f6d55a5d,TK610,C58355,delay,resolved,2025-10-08
ea3a26ec,TK500,C74027,delay,resolved,2025-10-10
1d51dac3,TK370,C86295,delay,open,2025-09-13
5586548a,TK970,C49279,other,resolved,2025-09-05
d54fcfb5,TK730,C45144,delay,resolved,2025-08-27
47dbc228,TK921,C60979,baggage,resolved,2025-09-04
5136e2af,TK455,C88040,delay,open,2025-08-26
5733388d,TK198,C56857,baggage,resolved,2025-09-05
6a35ce36,TK655,C27153,baggage,resolved,2025-09-14
aa42b05b,TK892,C79519,seat,resolved,2025-10-04
f1b13a4e,TK499,C26905,delay,pending,2025-08-21
b2a71d74,TK311,C55000,delay,resolved,2025-08-16
9f8f6edf,TK466,C59145,baggage,pending,2025-09-15
ed8dea69,TK499,C24291,service,open,2025-08-30
1dfb7e7f,TK848,C94080,baggage,resolved,2025-09-13
c21be6c0,TK198,C58758,seat,resolved,2025-08-29
e37d0327,TK311,C66849,baggage,resolved,2025-10-07
e58a8b19,TK260,C33911,delay,open,2025-09-13
82c5eaff,TK848,C67941,baggage,resolved,2025-09-17
05b4f472,TK838,C58908,service,open,2025-09-30
d3f855b8,TK664,C65731,seat,resolved,2025-08-25
4813da23,TK198,C56486,seat,resolved,2025-09-02
8c566d30,TK465,C37044,delay,resolved,2025-08-22
07c6cb7b,TK870,C93986,service,open,2025-09-01
7537c89d,TK294,C19496,baggage,open,2025-09-03
adfd657f,TK561,C75095,delay,resolved,2025-10-14
a729bcaa,TK848,C48787,service,resolved,2025-09-03
9670e938,TK122,C78056,delay,resolved,2025-09-06
37f7d618,TK157,C89578,service,resolved,2025-10-02
1000b814,TK916,C94899,service,resolved,2025-08-22
61660a5b,TK405,C45851,baggage,resolved,2025-09-11
db3b21c9,TK404,C50372,delay,resolved,2025-08-25
9f8c8a17,TK858,C99822,delay,pending,2025-09-08
9c4c8cd7,TK861,C92617,delay,resolved,2025-09-25
fa257ee3,TK466,C28313,seat,resolved,2025-09-08
56fc45e8,TK471,C83445,delay,resolved,2025-09-24
094647c6,TK919,C90073,baggage,resolved,2025-08-19
0cfd4f93,TK765,C47804,service,resolved,2025-10-11
53a02587,TK952,C46060,baggage,open,2025-09-29
186c556e,TK752,C33225,delay,resolved,2025-09-21
ebe07204,TK259,C75697,delay,resolved,2025-08-16
9893f704,TK862,C38731,delay,resolved,2025-09-26
51394bb7,TK752,C88229,baggage,resolved,2025-08-18
515aa7f7,TK405,C47861,delay,pending,2025-09-26
111937d5,TK760,C67775,delay,open,2025-08-27
02b0ec63,TK309,C86256,service,resolved,2025-08-17
6423b2b0,TK765,C35051,baggage,pending,2025-08-16
8dcf8629,TK539,C31621,baggage,resolved,2025-10-11
7d09d0ca,TK975,C59811,baggage,open,2025-10-09
55d3099b,TK952,C40254,seat,resolved,2025-10-06
f4df8da8,TK661,C13471,delay,resolved,2025-10-05
bd42c426,TK250,C44865,service,resolved,2025-09-15
0e836394,TK495,C16397,delay,resolved,2025-08-17
cd5f9dbf,TK499,C93820,baggage,open,2025-09-10
abab6248,TK250,C80553,seat,pending,2025-09-08
f0b6c4a5,TK243,C52963,seat,resolved,2025-10-10
0537b76a,TK561,C36201,service,resolved,2025-08-26
e57457f6,TK870,C12839,baggage,resolved,2025-08-22
def95225,TK820,C27069,baggage,open,2025-09-14
b390bc8d,TK831,C77155,baggage,pending,2025-09-15
004fe0ac,TK587,C11431,service,resolved,2025-09-17
be5537ed,TK136,C10162,delay,resolved,2025-10-05
aaf81864,TK507,C42591,delay,resolved,2025-09-20
9c089d23,TK831,C42972,delay,open,2025-09-09
1c2950b3,TK477,C69063,service,resolved,2025-09-02
784ba33b,TK309,C25892,delay,resolved,2025-10-08
f6775cea,TK250,C24289,baggage,resolved,2025-09-21
d8c145e8,TK502,C87454,seat,resolved,2025-09-19
85a1ddb6,TK551,C12539,baggage,resolved,2025-09-08
8748a4a6,TK295,C28745,other,open,2025-09-22
3a18ac2e,TK161,C44521,service,resolved,2025-08-25
41e23689,TK598,C97896,other,pending,2025-09-04
7147e9ae,TK119,C16304,service,resolved,2025-09-03
485493d4,TK831,C25352,seat,resolved,2025-09-28
7d36f7da,TK202,C85415,service,pending,2025-08-18
d213e8c2,TK506,C28474,service,resolved,2025-09-28
5d1a9f43,TK975,C77169,service,resolved,2025-10-14
b4c98059,TK245,C57945,service,pending,2025-08-28
031d8089,TK294,C78673,service,pending,2025-08-25
91194d8d,TK670,C22924,baggage,resolved,2025-08-29
cbe3ea99,TK848,C40651,delay,pending,2025-08-25
bc3b1ae2,TK260,C20800,delay,resolved,2025-09-25
c0cb8c0e,TK445,C84905,delay,resolved,2025-09-23
6e134298,TK434,C15774,delay,pending,2025-09-23
2a194f51,TK342,C24939,delay,pending,2025-09-05
2dad615f,TK259,C28489,baggage,resolved,2025-10-13
ed1ea310,TK138,C91816,service,resolved,2025-09-01
379edafc,TK952,C33648,delay,resolved,2025-09-06
fde85c3e,TK843,C58563,delay,resolved,2025-09-02
d5a13e5c,TK507,C42658,delay,open,2025-10-03
67d82be5,TK251,C71001,service,resolved,2025-09-04
0a14318c,TK230,C85939,delay,resolved,2025-10-06
d4303244,TK294,C31038,service,pending,2025-09-27
618aa327,TK607,C16971,baggage,resolved,2025-10-08
368870b4,TK811,C47711,seat,pending,2025-08-26
15ab9666,TK570,C11898,other,open,2025-10-14
e9970046,TK138,C99087,delay,resolved,2025-08-28
ad968a2c,TK730,C30074,delay,resolved,2025-08-30
27d40a17,TK982,C15906,seat,pending,2025-08-30
4f9f2206,TK850,C64400,delay,pending,2025-09-24
68afc752,TK325,C66481,service,pending,2025-09-14
b5bc6b37,TK555,C36170,service,open,2025-09-20
49ce2eea,TK385,C65426,delay,resolved,2025-09-11
3edd6f47,TK519,C34217,service,resolved,2025-09-17
0f390479,TK919,C59416,seat,resolved,2025-09-26
fb1c2582,TK524,C91835,other,pending,2025-09-01
463d162c,TK138,C36475,delay,resolved,2025-09-23
f02e6dc4,TK294,C19346,seat,resolved,2025-08-28
ade95560,TK539,C46116,service,open,2025-09-12
4fae46fb,TK455,C35556,delay,pending,2025-08-25
077e4307,TK927,C23230,service,resolved,2025-09-22
e02c6892,TK784,C86975,delay,resolved,2025-09-01
3127ad5e,TK542,C28058,seat,resolved,2025-09-12
b2df4c89,TK771,C68067,baggage,open,2025-09-10
2db39f92,TK850,C84663,service,resolved,2025-10-09
24a5e7c9,TK990,C48547,delay,pending,2025-09-22
69124d00,TK202,C85330,baggage,resolved,2025-09-07
7a3786c3,TK771,C81906,baggage,resolved,2025-08-24
cbd31397,TK231,C58781,other,resolved,2025-10-06
8963ed58,TK889,C60939,baggage,resolved,2025-09-12
37f39004,TK342,C96661,baggage,resolved,2025-09-18
0ee0bfd3,TK250,C93297,delay,resolved,2025-09-09
40c5ffae,TK477,C96516,delay,resolved,2025-09-15
20d9006a,TK236,C81678,service,resolved,2025-09-20
fbecc3ca,TK560,C33383,service,pending,2025-09-23
df90b2ae,TK824,C28351,baggage,pending,2025-10-12
891cd0d0,TK744,C31778,seat,open,2025-10-08
23e83552,TK744,C38365,baggage,resolved,2025-08-21
5dd4d8fd,TK645,C88610,seat,open,2025-09-07
e068582f,TK168,C44228,delay,open,2025-09-15
cb6539fa,TK309,C59416,service,resolved,2025-09-20
0cf1a363,TK736,C56733,delay,resolved,2025-08-17
519c4a43,TK848,C81363,service,pending,2025-10-13
