ticket_id,flight_number,cancel_reason,refund_status,customer_id
f9e1b5d9,TK497,schedule,approved,C27611
5a6bc74d,TK198,personal,rejected,C59847
e75c2029,TK415,other,rejected,C37810
2d5d4f16,TK162,weather,approved,C46976
97a99c89,TK358,schedule,processing,C22866
3571122c,TK294,schedule,rejected,C96156
de44d367,TK291,schedule,processing,C17295
b991eeb6,TK790,weather,approved,C85969
3fab4117,TK502,weather,approved,C31281
d596258e,TK479,weather,approved,C18605
5efb7fc5,TK198,personal,approved,C34322
6ed06d0f,TK987,weather,processing,C20207
00fcd93a,TK168,crew,approved,C84085
1c6301e8,TK833,schedule,approved,C69766
6f4003a5,TK210,weather,approved,C91253
6b2ee616,TK730,personal,approved,C56092
98b5886c,TK952,crew,approved,C78487
8593ad15,TK162,weather,approved,C68394
c98178ab,TK824,weather,rejected,C38454
64b0c310,TK210,weather,approved,C43204
871530f7,TK497,personal,approved,C71202
32b83489,TK587,schedule,processing,C86112
f743ca06,TK524,schedule,approved,C90905
aec02da3,TK177,personal,approved,C35235
0ce27a22,TK862,schedule,processing,C26237
8323c119,TK613,personal,approved,C56101
79bad1f1,TK325,schedule,approved,C66378
7f164944,TK918,schedule,processing,C22237
486269ab,TK423,weather,rejected,C58766
db50a82d,TK551,weather,approved,C99678
8531f801,TK294,schedule,approved,C41897
297682e1,TK920,weather,processing,C32736
71ba6332,TK314,crew,processing,C32440
3b348bce,TK500,crew,approved,C65103
d4495959,TK607,weather,approved,C29008
cf9c0790,TK145,crew,rejected,C15793
36bb0a61,TK177,personal,approved,C53148
6564e2bb,TK524,other,approved,C58695
870c80d2,TK975,weather,approved,C42441
9cd2e5b1,TK455,schedule,approved,C54760
804d739c,TK848,schedule,rejected,C95716
f9d44edd,TK183,crew,approved,C68272
6c6cf154,TK208,crew,approved,C64040
c5dc93c1,TK122,personal,approved,C15842
fe5c75f8,TK256,personal,approved,C27508
0496d52d,TK122,personal,approved,C35599
9441c349,TK497,personal,rejected,C97697
d16b401c,TK831,weather,rejected,C64120
